date,commodity,state,variety,trans_mode,price,price_min,price_max,unit
2026-03-09,Distillers Grain,Missouri,Dried 10%,Truck,187.0,175.0,199.0,$ Per Ton
2026-03-09,Distillers Grain,Missouri,Wet 65-70%,Truck,66.0,66.0,66.0,$ Per Ton
2026-03-09,Distillers Grain,N/A,Dried 10%,Ocean Vessel,219.5,215.0,225.0,$ Per Ton
2026-03-09,Distillers Grain,N/A,Dried 10%,Rail/Barge,170.0,170.0,170.0,$ Per Ton
2026-03-09,Distillers Grain,N/A,Dried 10%,Rail,235.0,235.0,235.0,$ Per Ton
2026-03-09,Distillers Grain,Nebraska,Wet 65-70%,Truck,48.0,35.0,64.0,$ Per Ton
2026-03-09,Distillers Grain,Nebraska,Modified Wet 55-60%,Truck,70.75,63.0,84.0,$ Per Ton
2026-03-09,Distillers Grain,Nebraska,Dried 10%,Truck,169.57,160.0,190.0,$ Per Ton
2026-03-09,Distillers Grain,Ohio,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-03-09,Distillers Grain,Ohio,Dried 10%,Truck,180.0,170.0,185.0,$ Per Ton
2026-03-09,Distillers Grain,Ohio,Dried 10%,Rail,168.0,168.0,168.0,$ Per Ton
2026-03-09,Distillers Grain,South Dakota,Wet 65-70%,Truck,61.33,54.0,65.0,$ Per Ton
2026-03-09,Distillers Grain,South Dakota,Modified Wet 55-60%,Truck,82.67,80.0,84.0,$ Per Ton
2026-03-09,Distillers Grain,South Dakota,Dried 10%,Truck,170.75,165.0,178.0,$ Per Ton
2026-03-09,Distillers Grain,Wisconsin,Modified Wet 55-60%,Truck,72.0,72.0,72.0,$ Per Ton
2026-03-09,Distillers Grain,Wisconsin,Dried 10%,Truck,155.5,151.0,160.0,$ Per Ton
2026-03-09,Ethanol,Illinois,,Truck,1.88,1.88,1.88,$ Per Gallon
2026-03-09,Ethanol,Illinois,,Rail,1.87,1.87,1.87,$ Per Gallon
2026-03-09,Ethanol,Indiana,,Rail,1.83,1.83,1.83,$ Per Gallon
2026-03-09,Ethanol,Iowa,,Truck,1.605,1.6,1.61,$ Per Gallon
2026-03-09,Ethanol,Kansas,,Truck,1.6867,1.61,1.79,$ Per Gallon
2026-03-09,Ethanol,Nebraska,,Truck,1.61,1.61,1.61,$ Per Gallon
2026-03-16,Distillers Corn Oil,Illinois,,Truck,71.5,69.0,74.0,Cents Per Lb
2026-03-16,Distillers Corn Oil,Indiana,,Truck,71.0,70.0,72.0,Cents Per Lb
2026-03-16,Distillers Corn Oil,Iowa,,Truck,69.0,69.0,69.0,Cents Per Lb
2026-03-16,Distillers Corn Oil,Kansas,,Truck,60.0,60.0,60.0,Cents Per Lb
2026-03-16,Distillers Corn Oil,Michigan,,Truck,69.0,64.0,72.0,Cents Per Lb
2026-03-16,Distillers Corn Oil,Minnesota,,Truck,70.4,69.0,72.0,Cents Per Lb
2026-03-16,Distillers Corn Oil,Missouri,,Truck,71.0,70.0,72.0,Cents Per Lb
2026-03-16,Distillers Corn Oil,Nebraska,,Truck,70.0,65.0,75.0,Cents Per Lb
2026-03-16,Distillers Corn Oil,Ohio,,Truck,70.67,70.0,72.0,Cents Per Lb
2026-03-16,Distillers Corn Oil,South Dakota,,Truck,70.0,68.0,72.0,Cents Per Lb
2026-03-16,Distillers Corn Oil,Wisconsin,,Truck,70.0,70.0,70.0,Cents Per Lb
2026-03-16,Distillers Grain,Illinois,Dried 10%,Truck,195.0,180.0,210.0,$ Per Ton
2026-03-16,Distillers Grain,Indiana,Dried 10%,Truck,180.25,169.0,195.0,$ Per Ton
2026-03-16,Distillers Grain,Indiana,Dried 10%,Rail,165.0,165.0,165.0,$ Per Ton
2026-03-16,Distillers Grain,Indiana,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-03-16,Distillers Grain,Iowa,Dried 10%,Rail,142.0,142.0,142.0,$ Per Ton
2026-03-16,Distillers Grain,Iowa,Dried 10%,Truck,159.5,140.0,180.0,$ Per Ton
2026-03-16,Distillers Grain,Iowa,Wet 65-70%,Truck,55.0,40.0,70.0,$ Per Ton
2026-03-16,Distillers Grain,Iowa,Modified Wet 55-60%,Truck,61.0,55.0,68.0,$ Per Ton
2026-03-16,Distillers Grain,Kansas,Wet 65-70%,Truck,47.33,35.0,57.0,$ Per Ton
2026-03-16,Distillers Grain,Kansas,Dried 10%,Truck,175.0,175.0,175.0,$ Per Ton
2026-03-16,Distillers Grain,Michigan,Dried 10%,Rail,162.0,162.0,162.0,$ Per Ton
2026-03-16,Distillers Grain,Michigan,Dried 10%,Truck,174.5,168.0,185.0,$ Per Ton
2026-03-16,Distillers Grain,Michigan,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-03-16,Distillers Grain,Minnesota,Modified Wet 55-60%,Truck,55.0,55.0,55.0,$ Per Ton
2026-03-16,Distillers Grain,Minnesota,Wet 65-70%,Truck,55.0,55.0,55.0,$ Per Ton
2026-03-16,Distillers Grain,Minnesota,Dried 10%,Truck,163.25,158.0,170.0,$ Per Ton
2026-03-16,Distillers Grain,Missouri,Dried 10%,Truck,187.0,175.0,199.0,$ Per Ton
2026-03-16,Distillers Grain,Missouri,Wet 65-70%,Truck,65.0,65.0,65.0,$ Per Ton
2026-03-16,Distillers Grain,N/A,Dried 10%,Ocean Vessel,219.5,215.0,225.0,$ Per Ton
2026-03-16,Distillers Grain,N/A,Dried 10%,Rail/Barge,170.0,170.0,170.0,$ Per Ton
2026-03-16,Distillers Grain,N/A,Dried 10%,Rail,240.0,240.0,240.0,$ Per Ton
2026-03-16,Distillers Grain,Nebraska,Wet 65-70%,Truck,48.0,35.0,64.0,$ Per Ton
2026-03-16,Distillers Grain,Nebraska,Modified Wet 55-60%,Truck,71.75,62.0,88.0,$ Per Ton
2026-03-16,Distillers Grain,Nebraska,Dried 10%,Truck,172.86,160.0,190.0,$ Per Ton
2026-03-16,Distillers Grain,Ohio,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-03-16,Distillers Grain,Ohio,Dried 10%,Truck,175.75,168.0,185.0,$ Per Ton
2026-03-16,Distillers Grain,Ohio,Dried 10%,Rail,168.0,168.0,168.0,$ Per Ton
2026-03-16,Distillers Grain,South Dakota,Wet 65-70%,Truck,59.0,54.0,64.0,$ Per Ton
2026-03-16,Distillers Grain,South Dakota,Modified Wet 55-60%,Truck,82.0,80.0,84.0,$ Per Ton
2026-03-16,Distillers Grain,South Dakota,Dried 10%,Truck,168.33,165.0,170.0,$ Per Ton
2026-03-16,Distillers Grain,Wisconsin,Modified Wet 55-60%,Truck,74.0,74.0,74.0,$ Per Ton
2026-03-16,Distillers Grain,Wisconsin,Dried 10%,Truck,159.0,158.0,160.0,$ Per Ton
2026-03-16,Ethanol,Illinois,,Truck,1.87,1.87,1.87,$ Per Gallon
2026-03-16,Ethanol,Illinois,,Rail,1.87,1.87,1.87,$ Per Gallon
2026-03-16,Ethanol,Indiana,,Rail,1.83,1.83,1.83,$ Per Gallon
2026-03-16,Ethanol,Iowa,,Truck,1.605,1.6,1.61,$ Per Gallon
2026-03-16,Ethanol,Kansas,,Truck,1.69,1.61,1.8,$ Per Gallon
2026-03-16,Ethanol,Nebraska,,Truck,1.61,1.61,1.61,$ Per Gallon
2026-03-23,Distillers Corn Oil,Illinois,,Truck,73.5,71.0,76.0,Cents Per Lb
2026-03-23,Distillers Corn Oil,Indiana,,Truck,71.0,70.0,72.0,Cents Per Lb
2026-03-23,Distillers Corn Oil,Iowa,,Truck,71.0,71.0,71.0,Cents Per Lb
2026-03-23,Distillers Corn Oil,Kansas,,Truck,60.0,60.0,60.0,Cents Per Lb
2026-03-23,Distillers Corn Oil,Michigan,,Truck,70.75,70.0,72.0,Cents Per Lb
2026-03-23,Distillers Corn Oil,Minnesota,,Truck,70.8,70.0,72.0,Cents Per Lb
2026-03-23,Distillers Corn Oil,Missouri,,Truck,71.0,70.0,72.0,Cents Per Lb
2026-03-23,Distillers Corn Oil,Nebraska,,Truck,70.63,65.0,75.0,Cents Per Lb
2026-03-23,Distillers Corn Oil,Ohio,,Truck,70.67,70.0,72.0,Cents Per Lb
2026-03-23,Distillers Corn Oil,South Dakota,,Truck,70.5,68.0,72.0,Cents Per Lb
2026-03-23,Distillers Corn Oil,Wisconsin,,Truck,73.0,73.0,73.0,Cents Per Lb
2026-03-23,Distillers Grain,Illinois,Dried 10%,Truck,202.0,188.0,216.0,$ Per Ton
2026-03-23,Distillers Grain,Indiana,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-03-23,Distillers Grain,Indiana,Dried 10%,Truck,177.25,169.0,195.0,$ Per Ton
2026-03-23,Distillers Grain,Indiana,Dried 10%,Rail,165.0,165.0,165.0,$ Per Ton
2026-03-23,Distillers Grain,Iowa,Dried 10%,Rail,142.0,142.0,142.0,$ Per Ton
2026-03-23,Distillers Grain,Iowa,Dried 10%,Truck,163.88,145.0,200.0,$ Per Ton
2026-03-23,Distillers Grain,Iowa,Modified Wet 55-60%,Truck,62.67,60.0,68.0,$ Per Ton
2026-03-23,Distillers Grain,Iowa,Wet 65-70%,Truck,57.5,40.0,75.0,$ Per Ton
2026-03-23,Distillers Grain,Kansas,Dried 10%,Truck,180.0,175.0,185.0,$ Per Ton
2026-03-23,Distillers Grain,Kansas,Wet 65-70%,Truck,50.67,45.0,57.0,$ Per Ton
2026-03-23,Distillers Grain,Michigan,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-03-23,Distillers Grain,Michigan,Dried 10%,Truck,177.0,168.0,195.0,$ Per Ton
2026-03-23,Distillers Grain,Michigan,Dried 10%,Rail,162.0,162.0,162.0,$ Per Ton
2026-03-23,Distillers Grain,Minnesota,Wet 65-70%,Truck,55.0,55.0,55.0,$ Per Ton
2026-03-23,Distillers Grain,Minnesota,Modified Wet 55-60%,Truck,60.0,60.0,60.0,$ Per Ton
2026-03-23,Distillers Grain,Minnesota,Dried 10%,Truck,163.0,157.0,170.0,$ Per Ton
2026-03-23,Distillers Grain,Missouri,Wet 65-70%,Truck,68.0,68.0,68.0,$ Per Ton
2026-03-23,Distillers Grain,Missouri,Dried 10%,Truck,187.0,175.0,199.0,$ Per Ton
2026-03-23,Distillers Grain,N/A,Dried 10%,Rail,240.0,240.0,240.0,$ Per Ton
2026-03-23,Distillers Grain,N/A,Dried 10%,Ocean Vessel,229.75,215.0,239.0,$ Per Ton
2026-03-23,Distillers Grain,N/A,Dried 10%,Rail/Barge,170.0,170.0,170.0,$ Per Ton
2026-03-23,Distillers Grain,Nebraska,Wet 65-70%,Truck,49.67,40.0,64.0,$ Per Ton
2026-03-23,Distillers Grain,Nebraska,Modified Wet 55-60%,Truck,73.0,62.0,88.0,$ Per Ton
2026-03-23,Distillers Grain,Nebraska,Dried 10%,Truck,177.14,165.0,190.0,$ Per Ton
2026-03-23,Distillers Grain,Ohio,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-03-23,Distillers Grain,Ohio,Dried 10%,Truck,183.75,170.0,195.0,$ Per Ton
2026-03-23,Distillers Grain,Ohio,Dried 10%,Rail,168.0,168.0,168.0,$ Per Ton
2026-03-23,Distillers Grain,South Dakota,Wet 65-70%,Truck,55.5,54.0,57.0,$ Per Ton
2026-03-23,Distillers Grain,South Dakota,Modified Wet 55-60%,Truck,79.0,78.0,80.0,$ Per Ton
2026-03-23,Distillers Grain,South Dakota,Dried 10%,Truck,173.33,165.0,180.0,$ Per Ton
2026-03-23,Distillers Grain,Wisconsin,Modified Wet 55-60%,Truck,75.0,75.0,75.0,$ Per Ton
2026-03-23,Distillers Grain,Wisconsin,Dried 10%,Truck,161.0,160.0,162.0,$ Per Ton
2026-03-23,Ethanol,Illinois,,Rail,1.99,1.98,2.0,$ Per Gallon
2026-03-23,Ethanol,Illinois,,Truck,1.96,1.96,1.96,$ Per Gallon
2026-03-23,Ethanol,Indiana,,Rail,1.985,1.97,2.0,$ Per Gallon
2026-03-23,Ethanol,Iowa,,Truck,1.755,1.61,1.9,$ Per Gallon
2026-03-23,Ethanol,Kansas,,Truck,1.8533,1.78,1.91,$ Per Gallon
2026-03-23,Ethanol,Nebraska,,Truck,1.61,1.61,1.61,$ Per Gallon
2026-03-30,Distillers Corn Oil,Illinois,,Truck,74.25,71.0,77.5,Cents Per Lb
2026-03-30,Distillers Corn Oil,Indiana,,Truck,71.0,70.0,72.0,Cents Per Lb
2026-03-30,Distillers Corn Oil,Iowa,,Truck,71.0,71.0,71.0,Cents Per Lb
2026-03-30,Distillers Corn Oil,Kansas,,Truck,68.0,68.0,68.0,Cents Per Lb
2026-03-30,Distillers Corn Oil,Michigan,,Truck,71.5,70.0,73.0,Cents Per Lb
2026-03-30,Distillers Corn Oil,Minnesota,,Truck,70.8,70.0,72.0,Cents Per Lb
2026-03-30,Distillers Corn Oil,Missouri,,Truck,71.0,70.0,72.0,Cents Per Lb
2026-03-30,Distillers Corn Oil,Nebraska,,Truck,71.0,65.0,77.0,Cents Per Lb
2026-03-30,Distillers Corn Oil,Ohio,,Truck,70.67,70.0,72.0,Cents Per Lb
2026-03-30,Distillers Corn Oil,South Dakota,,Truck,71.0,68.0,75.0,Cents Per Lb
2026-03-30,Distillers Corn Oil,Wisconsin,,Truck,75.0,75.0,75.0,Cents Per Lb
2026-03-30,Distillers Grain,Illinois,Dried 10%,Truck,201.5,188.0,215.0,$ Per Ton
2026-03-30,Distillers Grain,Indiana,Dried 10%,Truck,177.25,169.0,195.0,$ Per Ton
2026-03-30,Distillers Grain,Indiana,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-03-30,Distillers Grain,Indiana,Dried 10%,Rail,165.0,165.0,165.0,$ Per Ton
2026-03-30,Distillers Grain,Iowa,Dried 10%,Rail,142.0,142.0,142.0,$ Per Ton
2026-03-30,Distillers Grain,Iowa,Dried 10%,Truck,163.88,145.0,200.0,$ Per Ton
2026-03-30,Distillers Grain,Iowa,Wet 65-70%,Truck,57.5,40.0,75.0,$ Per Ton
2026-03-30,Distillers Grain,Iowa,Modified Wet 55-60%,Truck,62.67,60.0,68.0,$ Per Ton
2026-03-30,Distillers Grain,Kansas,Wet 65-70%,Truck,50.67,45.0,57.0,$ Per Ton
2026-03-30,Distillers Grain,Kansas,Dried 10%,Truck,180.0,175.0,185.0,$ Per Ton
2026-03-30,Distillers Grain,Michigan,Dried 10%,Rail,162.0,162.0,162.0,$ Per Ton
2026-03-30,Distillers Grain,Michigan,Dried 10%,Truck,177.0,168.0,195.0,$ Per Ton
2026-03-30,Distillers Grain,Michigan,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-03-30,Distillers Grain,Minnesota,Modified Wet 55-60%,Truck,60.0,60.0,60.0,$ Per Ton
2026-03-30,Distillers Grain,Minnesota,Wet 65-70%,Truck,55.0,55.0,55.0,$ Per Ton
2026-03-30,Distillers Grain,Minnesota,Dried 10%,Truck,164.25,157.0,170.0,$ Per Ton
2026-03-30,Distillers Grain,Missouri,Dried 10%,Truck,187.0,175.0,199.0,$ Per Ton
2026-03-30,Distillers Grain,Missouri,Wet 65-70%,Truck,69.0,69.0,69.0,$ Per Ton
2026-03-30,Distillers Grain,N/A,Dried 10%,Rail,240.0,240.0,240.0,$ Per Ton
2026-03-30,Distillers Grain,N/A,Dried 10%,Ocean Vessel,228.25,215.0,235.0,$ Per Ton
2026-03-30,Distillers Grain,N/A,Dried 10%,Rail/Barge,170.0,170.0,170.0,$ Per Ton
2026-03-30,Distillers Grain,Nebraska,Wet 65-70%,Truck,57.5,55.0,64.0,$ Per Ton
2026-03-30,Distillers Grain,Nebraska,Modified Wet 55-60%,Truck,73.0,62.0,88.0,$ Per Ton
2026-03-30,Distillers Grain,Nebraska,Dried 10%,Truck,179.29,165.0,190.0,$ Per Ton
2026-03-30,Distillers Grain,Ohio,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-03-30,Distillers Grain,Ohio,Dried 10%,Truck,183.75,170.0,195.0,$ Per Ton
2026-03-30,Distillers Grain,Ohio,Dried 10%,Rail,168.0,168.0,168.0,$ Per Ton
2026-03-30,Distillers Grain,South Dakota,Wet 65-70%,Truck,55.5,54.0,57.0,$ Per Ton
2026-03-30,Distillers Grain,South Dakota,Modified Wet 55-60%,Truck,79.0,78.0,80.0,$ Per Ton
2026-03-30,Distillers Grain,South Dakota,Dried 10%,Truck,172.67,165.0,180.0,$ Per Ton
2026-03-30,Distillers Grain,Wisconsin,Dried 10%,Truck,162.0,162.0,162.0,$ Per Ton
2026-03-30,Distillers Grain,Wisconsin,Modified Wet 55-60%,Truck,75.0,75.0,75.0,$ Per Ton
2026-03-30,Ethanol,Illinois,,Truck,2.04,2.04,2.04,$ Per Gallon
2026-03-30,Ethanol,Illinois,,Rail,1.99,1.98,2.0,$ Per Gallon
2026-03-30,Ethanol,Indiana,,Rail,1.975,1.97,1.98,$ Per Gallon
2026-03-30,Ethanol,Iowa,,Truck,1.74,1.61,1.87,$ Per Gallon
2026-03-30,Ethanol,Kansas,,Truck,1.8533,1.78,1.91,$ Per Gallon
2026-03-30,Ethanol,Nebraska,,Truck,1.61,1.61,1.61,$ Per Gallon
2026-04-06,Distillers Corn Oil,Illinois,,Truck,76.0,74.0,78.0,Cents Per Lb
2026-04-06,Distillers Corn Oil,Indiana,,Truck,71.0,70.0,72.0,Cents Per Lb
2026-04-06,Distillers Corn Oil,Iowa,,Truck,71.95,67.5,78.0,Cents Per Lb
2026-04-06,Distillers Corn Oil,Kansas,,Truck,68.0,68.0,68.0,Cents Per Lb
2026-04-06,Distillers Corn Oil,Michigan,,Truck,72.0,70.0,74.0,Cents Per Lb
2026-04-06,Distillers Corn Oil,Minnesota,,Truck,71.4,70.0,74.0,Cents Per Lb
2026-04-06,Distillers Corn Oil,Missouri,,Truck,71.0,70.0,72.0,Cents Per Lb
2026-04-06,Distillers Corn Oil,Nebraska,,Truck,71.25,67.0,77.0,Cents Per Lb
2026-04-06,Distillers Corn Oil,Ohio,,Truck,70.67,70.0,72.0,Cents Per Lb
2026-04-06,Distillers Corn Oil,South Dakota,,Truck,72.0,70.0,75.0,Cents Per Lb
2026-04-06,Distillers Corn Oil,Wisconsin,,Truck,75.0,75.0,75.0,Cents Per Lb
2026-04-06,Distillers Grain,Illinois,Dried 10%,Truck,199.0,193.0,205.0,$ Per Ton
2026-04-06,Distillers Grain,Indiana,Dried 10%,Rail,165.0,165.0,165.0,$ Per Ton
2026-04-06,Distillers Grain,Indiana,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-04-06,Distillers Grain,Indiana,Dried 10%,Truck,178.0,169.0,195.0,$ Per Ton
2026-04-06,Distillers Grain,Iowa,Dried 10%,Rail,142.0,142.0,142.0,$ Per Ton
2026-04-06,Distillers Grain,Iowa,Dried 10%,Truck,165.89,145.0,200.0,$ Per Ton
2026-04-06,Distillers Grain,Iowa,Modified Wet 55-60%,Truck,69.5,60.0,85.0,$ Per Ton
2026-04-06,Distillers Grain,Iowa,Wet 65-70%,Truck,57.5,40.0,75.0,$ Per Ton
2026-04-06,Distillers Grain,Kansas,Wet 65-70%,Truck,59.0,57.0,60.0,$ Per Ton
2026-04-06,Distillers Grain,Kansas,Dried 10%,Truck,192.5,185.0,200.0,$ Per Ton
2026-04-06,Distillers Grain,Michigan,Dried 10%,Truck,177.5,168.0,195.0,$ Per Ton
2026-04-06,Distillers Grain,Michigan,Modified Wet 55-60%,Truck,90.0,90.0,90.0,$ Per Ton
2026-04-06,Distillers Grain,Michigan,Dried 10%,Rail,162.0,162.0,162.0,$ Per Ton
2026-04-06,Distillers Grain,Minnesota,Dried 10%,Truck,166.25,160.0,170.0,$ Per Ton
2026-04-06,Distillers Grain,Minnesota,Modified Wet 55-60%,Truck,65.0,65.0,65.0,$ Per Ton
